SEQNO,SYSID,JOBNAME,MSGID,TIMESTMP,USERID,TEXT,LABEL
58,MVSF,PM0,PREFIX,09.20.30,SYSOP,-WTOR1,normal
59,MVSF,USER325,PMO388I,09.28.42,START1,-STEPEND,normal
60,MVSF,START1,PREFIX,09.56.54,OPSS,-WTOR1,normal
61,MVSF,USER325M,PMO396I,09.30.11,USER325,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
62,MVSF,START1,DBSERR01,09.45.19,SYSOP,OPS TRAINING: CRITICAL - COFFEE LEVEL LOW,critical
63,MVSF,JES2,DBSERR01,09.13.35,USER325,CRITICAL: DB connection FAILED on DB2 - RETURN CODE 100,critical
64,MVSF,USER325M,PMO388I,09.42.59,SYSOP,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
65,MVSF,USER325M,EZZ6034I,09.16.39,USER325,$HASP395 USER325M ENDED - RC=0000,normal
66,MVSF,USER325,IEF196I,09.54.53,SYSOP,$HASP395 USER325M ENDED - RC=0000,normal
67,MVSF,JES2,IEF196I,09.31.43,SYSOP,IP..PORT: 66.167.166.156..8996,normal
68,MVSF,JES2,PMO388I,09.37.24,START1,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
69,MVSF,JES2,ERR4014,09.16.52,USER325M,ALERT: Disk usage at 95% - action required,critical
70,MVSF,USER325M,EZZ6034I,09.05.17,USER325M,-WTO2,normal
71,MVSF,USER325,PMO396I,09.15.47,START1,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
72,MVSF,CONSOLE,EZZ6034E,09.37.02,START1,ALERT: Disk usage at 95% - action required,critical
73,MVSF,JES2,PMO388I,09.52.15,SYSOP,$HASP395 USER325M ENDED - RC=0000,normal
74,MVSF,JES2,IEF403I,09.57.03,START1,-STEPEND,normal
75,MVSF,CONSOLE,DBSERR01,09.29.45,START1,ALERT: Disk usage at 95% - action required,critical
76,MVSF,JES2,EZZ6034I,09.31.54,USER325,$HASP395 USER325M ENDED - RC=0000,normal
77,MVSF,START1,PREFIX,09.38.31,OPSS,-WTO3,normal
78,MVSF,CONSOLE,PMO388I,09.25.52,USER325M,-WTO1,normal
79,MVSF,CONSOLE,IEF403I,09.51.20,START1,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
80,MVSF,CONSOLE,IEF196I,09.15.18,OPSS,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
81,MVSF,JES2,IEF196I,09.01.23,SYSOP,-WTO2,normal
82,MVSF,USER325M,EZZ6034I,09.47.45,USER325M,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
83,MVSF,CONSOLE,PMO396I,09.07.22,SYSOP,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
84,MVSF,PM0,EZZ6034I,09.13.32,OPSS,$HASP395 USER325M ENDED - RC=0000,normal
85,MVSF,PM0,EZZ6034I,09.52.44,USER325M,-WTO2,normal
86,MVSF,START1,IEF196I,09.29.14,USER325M,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
87,MVSF,OPSS,IEF196I,09.29.35,USER325M,$HASP395 USER325M ENDED - RC=0000,normal
88,MVSF,USER325,PMO388I,09.50.05,SYSOP,-WTO1,normal
89,MVSF,USER325M,PMO396I,09.56.22,SYSOP,IP..PORT: 66.167.166.156..8996,normal
90,MVSF,USER325,EZZ6034E,09.51.13,START1,CRITICAL: DB connection FAILED on DB2 - RETURN CODE 100,critical
91,MVSF,JES2,IEF403I,09.22.11,USER325,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
92,MVSF,START1,IEF403I,09.47.52,USER325M,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
93,MVSF,PM0,IEF285I,09.27.44,START1,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
94,MVSF,JES2,PMO388I,09.01.10,OPSS,IP..PORT: 66.167.166.156..8996,normal
95,MVSF,USER325M,IEF285I,09.37.47,SYSOP,-STEPEND,normal
96,MVSF,PM0,PREFIX,09.30.58,USER325M,-WTOR1,normal
97,MVSF,OPSS,EZZ6034I,09.50.42,SYSOP,-WTO2,normal
98,MVSF,CONSOLE,IEF285I,09.49.27,SYSOP,-WTO2,normal
99,MVSF,CONSOLE,IEF403I,09.15.31,USER325M,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
100,MVSF,OPSS,PMO396I,09.03.43,SYSOP,-WTO1,normal
101,MVSF,JES2,PREFIX,09.00.50,SYSOP,-WTOR2,normal
102,MVSF,CONSOLE,IEF403I,09.58.49,START1,-WTO1,normal
103,MVSF,USER325,PMO388I,09.10.11,SYSOP,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
104,MVSF,OPSS,PREFIX,09.38.05,START1,-WTO3,normal
105,MVSF,USER325M,DBSERR01,09.30.13,USER325M,ERROR: Job STEP1 ABEND RC=16 - URGENT,critical
106,MVSF,START1,PREFIX,09.50.31,OPSS,-WTOR1,normal
107,MVSF,USER325,IEF285I,09.16.22,USER325,-STEPEND,normal
108,MVSF,CONSOLE,PMO388I,09.02.13,USER325,IP..PORT: 66.167.166.156..8996,normal
109,MVSF,CONSOLE,PMO388I,09.53.46,SYSOP,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
110,MVSF,START1,PREFIX,09.15.20,USER325,-WTOR2,normal
111,MVSF,JES2,EZZ6034E,09.20.59,SYSOP,OPS TRAINING: CRITICAL - COFFEE LEVEL LOW,critical
112,MVSF,USER325M,IEF403I,09.47.00,USER325M,IP..PORT: 66.167.166.156..8996,normal
113,MVSF,OPSS,PREFIX,09.40.49,OPSS,-WTOR2,normal
114,MVSF,USER325,CRIT1000,09.46.01,SYSOP,OPS TRAINING: CRITICAL - COFFEE LEVEL LOW,critical
115,MVSF,JES2,EZZ6034I,09.51.37,USER325,-STEPEND,normal
116,MVSF,PM0,IEF403I,09.55.35,START1,-WTO1,normal
117,MVSF,PM0,PMO388I,09.07.08,USER325,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
118,MVSF,USER325M,IEF403I,09.06.00,USER325M,$HASP395 USER325M ENDED - RC=0000,normal
119,MVSF,PM0,PMO388I,09.59.20,SYSOP,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
120,MVSF,PM0,PMO396I,09.30.10,OPSS,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
121,MVSF,OPSS,IEF403I,09.01.58,SYSOP,IP..PORT: 66.167.166.156..8996,normal
122,MVSF,START1,CRIT1000,09.27.51,OPSS,ERROR: Job STEP1 ABEND RC=16 - URGENT,critical
123,MVSF,PM0,EZZ6034E,09.56.48,USER325,ALERT: Disk usage at 95% - action required,critical
124,MVSF,USER325M,CRIT1000,09.16.38,START1,ALERT: Disk usage at 95% - action required,critical
125,MVSF,JES2,PMO396I,09.04.45,USER325M,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
126,MVSF,JES2,CRIT1000,09.00.10,USER325M,ERROR: Job STEP1 ABEND RC=16 - URGENT,critical
127,MVSF,START1,ERR4014,09.33.03,USER325M,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
128,MVSF,JES2,ERR4014,09.12.52,USER325,ALERT: Disk usage at 95% - action required,critical
129,MVSF,PM0,PMO388I,09.32.17,START1,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
130,MVSF,OPSS,EZZ6034I,09.08.37,SYSOP,-WTO1,normal
131,MVSF,START1,IEF196I,09.31.11,OPSS,IP..PORT: 66.167.166.156..8996,normal
132,MVSF,USER325M,EZZ6034I,09.53.21,USER325M,-WTO1,normal
133,MVSF,JES2,EZZ6034I,09.46.02,SYSOP,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
134,MVSF,START1,EZZ6034I,09.04.40,USER325,IP..PORT: 66.167.166.156..8996,normal
135,MVSF,USER325M,PREFIX,09.06.43,OPSS,-WTO4,normal
136,MVSF,JES2,IEF196I,09.03.49,USER325M,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
137,MVSF,START1,IEF285I,09.46.32,USER325,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
138,MVSF,START1,PMO388I,09.09.46,USER325,-WTO2,normal
139,MVSF,CONSOLE,IEF403I,09.46.15,SYSOP,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
140,MVSF,PM0,IEF403I,09.17.04,START1,-STEPEND,normal
141,MVSF,USER325,PMO388I,09.26.02,SYSOP,IP..PORT: 66.167.166.156..8996,normal
142,MVSF,JES2,EZZ6034I,09.44.56,START1,-STEPEND,normal
143,MVSF,JES2,EZZ6034I,09.19.32,USER325,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
144,MVSF,PM0,EZZ6034I,09.51.34,USER325,-WTO2,normal
145,MVSF,JES2,PREFIX,09.30.05,OPSS,-WTO3,normal
146,MVSF,PM0,EZZ6034E,09.28.21,USER325,CRITICAL: DB connection FAILED on DB2 - RETURN CODE 100,critical
147,MVSF,JES2,CRIT1000,09.11.13,USER325M,ERROR: Job STEP1 ABEND RC=16 - URGENT,critical
148,MVSF,JES2,PREFIX,09.07.51,START1,-WTOR1,normal
149,MVSF,OPSS,IEF285I,09.53.58,START1,$HASP395 USER325M ENDED - RC=0000,normal
150,MVSF,START1,PMO388I,09.26.00,USER325M,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
151,MVSF,START1,IEF285I,09.38.19,USER325M,IP..PORT: 66.167.166.156..8996,normal
152,MVSF,PM0,IEF196I,09.27.52,OPSS,IP..PORT: 66.167.166.156..8996,normal
153,MVSF,OPSS,PREFIX,09.06.38,USER325,-WTOR1,normal
154,MVSF,START1,PMO388I,09.50.40,USER325,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
155,MVSF,OPSS,PMO388I,09.47.07,USER325M,$HASP395 USER325M ENDED - RC=0000,normal
156,MVSF,PM0,IEF285I,09.25.04,SYSOP,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
157,MVSF,USER325,IEF196I,09.08.20,START1,$HASP395 USER325M ENDED - RC=0000,normal
158,MVSF,JES2,EZZ6034I,09.22.46,USER325,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
159,MVSF,JES2,PREFIX,09.52.14,SYSOP,-WTO4,normal
160,MVSF,JES2,IEF285I,09.40.41,OPSS,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
161,MVSF,JES2,PREFIX,09.11.54,OPSS,-WTO4,normal
162,MVSF,START1,IEF196I,09.22.06,OPSS,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
163,MVSF,PM0,EZZ6034I,09.04.20,START1,$HASP395 USER325M ENDED - RC=0000,normal
164,MVSF,START1,PMO396I,09.15.07,SYSOP,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
165,MVSF,OPSS,CRIT1000,09.32.41,START1,ALERT: Disk usage at 95% - action required,critical
166,MVSF,OPSS,IEF196I,09.05.30,USER325M,IP..PORT: 66.167.166.156..8996,normal
167,MVSF,USER325M,IEF403I,09.40.46,SYSOP,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
168,MVSF,JES2,PMO388I,09.44.41,SYSOP,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
169,MVSF,CONSOLE,PMO388I,09.56.29,START1,-WTO2,normal
170,MVSF,PM0,CRIT1000,09.17.24,USER325M,ALERT: Disk usage at 95% - action required,critical
171,MVSF,JES2,PMO388I,09.05.49,OPSS,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
172,MVSF,START1,CRIT1000,09.38.20,SYSOP,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
173,MVSF,CONSOLE,IEF403I,09.40.59,USER325M,$HASP395 USER325M ENDED - RC=0000,normal
174,MVSF,USER325,IEF285I,09.57.50,OPSS,-WTO1,normal
175,MVSF,JES2,IEF196I,09.29.17,SYSOP,-STEPEND,normal
176,MVSF,OPSS,EZZ6034E,09.12.18,USER325M,ERROR: Job STEP1 ABEND RC=16 - URGENT,critical
177,MVSF,USER325,IEF403I,09.59.22,USER325,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
178,MVSF,PM0,IEF285I,09.36.12,USER325,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
179,MVSF,PM0,IEF285I,09.22.08,SYSOP,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
180,MVSF,PM0,DBSERR01,09.05.34,USER325M,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
181,MVSF,CONSOLE,PMO396I,09.14.42,SYSOP,IP..PORT: 66.167.166.156..8996,normal
182,MVSF,OPSS,IEF403I,09.15.03,START1,IP..PORT: 66.167.166.156..8996,normal
183,MVSF,USER325,PREFIX,09.20.34,USER325,-WTO3,normal
184,MVSF,OPSS,CRIT1000,09.33.57,START1,CRITICAL: DB connection FAILED on DB2 - RETURN CODE 100,critical
185,MVSF,OPSS,EZZ6034I,09.27.06,OPSS,-WTO2,normal
186,MVSF,START1,IEF196I,09.27.36,START1,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
187,MVSF,JES2,IEF403I,09.47.04,USER325M,-WTO1,normal
188,MVSF,START1,DBSERR01,09.05.22,START1,ALERT: Disk usage at 95% - action required,critical
189,MVSF,JES2,CRIT1000,09.11.28,OPSS,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
190,MVSF,CONSOLE,PMO396I,09.49.39,USER325,-WTO2,normal
191,MVSF,JES2,IEF285I,09.51.49,OPSS,-WTO1,normal
192,MVSF,PM0,ERR4014,09.38.32,SYSOP,ALERT: Disk usage at 95% - action required,critical
193,MVSF,USER325M,PREFIX,09.04.39,START1,-WTOR1,normal
194,MVSF,START1,IEF403I,09.05.03,USER325M,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
195,MVSF,PM0,IEF403I,09.58.59,OPSS,-STEPEND,normal
196,MVSF,USER325M,PMO388I,09.55.17,SYSOP,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
197,MVSF,OPSS,PMO388I,09.30.45,OPSS,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
198,MVSF,OPSS,EZZ6034E,09.16.54,START1,ERROR: Job STEP1 ABEND RC=16 - URGENT,critical
199,MVSF,CONSOLE,PMO396I,09.19.18,START1,-WTO1,normal
200,MVSF,OPSS,PMO396I,09.22.30,OPSS,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
201,MVSF,OPSS,IEF403I,09.39.46,USER325,-WTO1,normal
202,MVSF,START1,EZZ6034I,09.48.23,OPSS,$HASP395 USER325M ENDED - RC=0000,normal
203,MVSF,PM0,IEF403I,09.45.46,START1,-WTO1,normal
204,MVSF,CONSOLE,IEF403I,09.52.18,START1,-WTO1,normal
205,MVSF,CONSOLE,PREFIX,09.57.38,OPSS,-WTO4,normal
206,MVSF,PM0,EZZ6034I,09.22.59,SYSOP,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
207,MVSF,PM0,IEF285I,09.29.52,OPSS,-WTO1,normal
208,MVSF,JES2,IEF285I,09.51.06,START1,IP..PORT: 66.167.166.156..8996,normal
209,MVSF,PM0,PMO388I,09.38.56,START1,-WTO2,normal
210,MVSF,USER325,PMO388I,09.55.45,USER325,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
211,MVSF,JES2,IEF403I,09.25.20,SYSOP,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
212,MVSF,JES2,EZZ6034E,09.10.56,USER325M,CRITICAL: DB connection FAILED on DB2 - RETURN CODE 100,critical
213,MVSF,JES2,PMO388I,09.30.47,USER325M,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
214,MVSF,USER325,PMO388I,09.26.21,OPSS,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
215,MVSF,USER325,IEF196I,09.02.36,USER325M,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
216,MVSF,START1,IEF285I,09.00.21,OPSS,IP..PORT: 66.167.166.156..8996,normal
217,MVSF,OPSS,IEF285I,09.52.59,USER325M,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
218,MVSF,USER325M,IEF196I,09.43.37,SYSOP,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
219,MVSF,PM0,PMO388I,09.35.10,SYSOP,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
220,MVSF,USER325,PMO388I,09.38.57,START1,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
221,MVSF,START1,PMO396I,09.37.08,SYSOP,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
222,MVSF,OPSS,IEF196I,09.43.23,START1,$HASP395 USER325M ENDED - RC=0000,normal
223,MVSF,CONSOLE,IEF196I,09.16.27,OPSS,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
224,MVSF,CONSOLE,CRIT1000,09.37.16,USER325M,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
225,MVSF,PM0,EZZ6034I,09.12.26,USER325,IP..PORT: 66.167.166.156..8996,normal
226,MVSF,USER325,ERR4014,09.02.59,USER325,OPS TRAINING: CRITICAL - COFFEE LEVEL LOW,critical
227,MVSF,JES2,CRIT1000,09.37.04,START1,CRITICAL: DB connection FAILED on DB2 - RETURN CODE 100,critical
228,MVSF,JES2,DBSERR01,09.53.18,OPSS,CRITICAL: DB connection FAILED on DB2 - RETURN CODE 100,critical
229,MVSF,USER325M,IEF196I,09.50.44,START1,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
230,MVSF,CONSOLE,IEF285I,09.54.25,SYSOP,IP..PORT: 66.167.166.156..8996,normal
231,MVSF,START1,PMO388I,09.56.08,USER325,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
232,MVSF,CONSOLE,IEF196I,09.30.26,SYSOP,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
233,MVSF,OPSS,PMO388I,09.49.37,USER325M,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
234,MVSF,PM0,EZZ6034I,09.43.31,START1,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
235,MVSF,JES2,DBSERR01,09.41.28,START1,OPS TRAINING: CRITICAL - COFFEE LEVEL LOW,critical
236,MVSF,USER325M,EZZ6034I,09.38.43,OPSS,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
237,MVSF,CONSOLE,EZZ6034I,09.30.18,OPSS,IP..PORT: 66.167.166.156..8996,normal
238,MVSF,USER325,PMO388I,09.07.44,OPSS,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
239,MVSF,CONSOLE,PMO388I,09.52.54,USER325M,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
240,MVSF,USER325,PMO396I,09.08.22,USER325,-STEPEND,normal
241,MVSF,JES2,EZZ6034I,09.46.33,USER325M,IP..PORT: 66.167.166.156..8996,normal
242,MVSF,PM0,CRIT1000,09.48.26,USER325,CRITICAL: DB connection FAILED on DB2 - RETURN CODE 100,critical
243,MVSF,USER325,IEF196I,09.53.57,START1,-WTO2,normal
244,MVSF,START1,IEF403I,09.05.53,OPSS,IP..PORT: 66.167.166.156..8996,normal
245,MVSF,JES2,EZZ6034I,09.27.57,SYSOP,IP..PORT: 66.167.166.156..8996,normal
246,MVSF,USER325M,PREFIX,09.46.25,SYSOP,-WTO3,normal
247,MVSF,USER325M,PMO396I,09.34.19,OPSS,-WTO1,normal
248,MVSF,CONSOLE,IEF403I,09.48.25,USER325,-WTO1,normal
249,MVSF,CONSOLE,PREFIX,09.13.24,SYSOP,-WTOR1,normal
250,MVSF,START1,PMO396I,09.43.45,USER325,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
251,MVSF,JES2,IEF285I,09.58.58,OPSS,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
